id,title,goal,prompt,example
1,Hook Generator: Lead-Magnet-Ideen,"Schnelle, strukturierte Outputs fuer B2B Marketer.",Analysiere Tweet Engine und generiere 12 Lead-Magnet-Ideen. Nutze eine klare Struktur und schreibe auf Deutsch. Liefere zusaetzlich 3 Varianten je Item.,Beispiel: Hook: '25 Agenten liefern 300 Tweets in 1 Woche.'
2,Thread Outline: DM-Templates,"Schnelle, strukturierte Outputs fuer Solo-Creator.",Du bist ein Content-Strategist. Liefere 7 DM-Templates im Stil Pro/Contra. Zielgruppe: Solo-Creator. Thema: Content Factory. Jede Ausgabe muss einen klaren Nutzen enthalten.,Beispiel: Nutzen: 'Mehr Output bei weniger Aufwand.'
3,Tweet Variations: Hooks,"Schnelle, strukturierte Outputs fuer SaaS Founder.",Du bist ein Content-Strategist. Liefere 10 Hooks im Stil Schritt-fuer-Schritt. Zielgruppe: SaaS Founder. Thema: Tweet Engine. Jede Ausgabe muss einen klaren Nutzen enthalten.,Beispiel: DM: 'Willst du die Matrix? Schreib AGENTS.'
4,CTA Builder: Content-Ideen,"Schnelle, strukturierte Outputs fuer Coaches.","Baue 5 Content-Ideen fuer Coaches. Arbeite mit klaren Schritten, CTA und Beispiel. Kontext: Creator Stack.",Beispiel: CTA: 'Schreib AGENTS fuer die Struktur.'
5,Content Audit: Tweet-Varianten,"Schnelle, strukturierte Outputs fuer B2B Marketer.",Analysiere Tweet Engine und generiere 9 Tweet-Varianten. Nutze eine klare Struktur und schreibe auf Deutsch. Liefere zusaetzlich 3 Varianten je Item.,Beispiel: CTA: 'Schreib AGENTS fuer die Struktur.'
6,Positionierung: Content-Ideen,"Schnelle, strukturierte Outputs fuer Coaches.",Erstelle 5 Content-Ideen fuer Coaches. Nutze Framework und halte jede Ausgabe unter 20 Woertern. Kontext: Tweet Engine. Gib die Ausgabe nummeriert aus.,Beispiel: Offer: 'Content Factory in a Box'
7,Offer Design: Tweet-Varianten,"Schnelle, strukturierte Outputs fuer Coaches.",Du bist ein Content-Strategist. Liefere 10 Tweet-Varianten im Stil Kurz und direkt. Zielgruppe: Coaches. Thema: Prompt Pack. Jede Ausgabe muss einen klaren Nutzen enthalten.,Beispiel: Hook: '25 Agenten liefern 300 Tweets in 1 Woche.'
8,Pricing: Offer-Statements,"Schnelle, strukturierte Outputs fuer Coaches.","Erstelle eine Liste von 10 Offer-Statements fuer Coaches. Verwende Kurz und direkt. Fokus: Nutzen, Klarheit, Spezifitaet. Gib Formatvorgaben pro Item an.",Beispiel: CTA: 'Schreib AGENTS fuer die Struktur.'
9,Lead Magnet: Tweet-Varianten,"Schnelle, strukturierte Outputs fuer B2B Marketer.",Erstelle 9 Tweet-Varianten fuer B2B Marketer. Nutze Beispiel + Analyse und halte jede Ausgabe unter 18 Woertern. Kontext: Thread System. Gib die Ausgabe nummeriert aus.,Beispiel: Hook: '25 Agenten liefern 300 Tweets in 1 Woche.'
10,Content Kalender: CTA-Ideen,"Schnelle, strukturierte Outputs fuer Coaches.",Analysiere Content Factory und generiere 5 CTA-Ideen. Nutze eine klare Struktur und schreibe auf Deutsch. Liefere zusaetzlich 3 Varianten je Item.,Beispiel: DM: 'Willst du die Matrix? Schreib AGENTS.'
11,Repurposing: CTA-Ideen,"Schnelle, strukturierte Outputs fuer Coaches.",Erstelle 10 CTA-Ideen fuer Coaches. Nutze Schritt-fuer-Schritt und halte jede Ausgabe unter 16 Woertern. Kontext: Prompt Pack. Gib die Ausgabe nummeriert aus.,Beispiel: DM: 'Willst du die Matrix? Schreib AGENTS.'
12,Story Framework: Tweet-Varianten,"Schnelle, strukturierte Outputs fuer B2B Marketer.",Analysiere Monetarisierungs-Funnel und generiere 12 Tweet-Varianten. Nutze eine klare Struktur und schreibe auf Deutsch. Liefere zusaetzlich 3 Varianten je Item.,Beispiel: CTA: 'Schreib AGENTS fuer die Struktur.'
13,Objection Handling: Pricing-Optionen,"Schnelle, strukturierte Outputs fuer Coaches.","Baue 9 Pricing-Optionen fuer Coaches. Arbeite mit klaren Schritten, CTA und Beispiel. Kontext: Tweet Engine.",Beispiel: DM: 'Willst du die Matrix? Schreib AGENTS.'
14,Use-Case Mapping: Lead-Magnet-Ideen,"Schnelle, strukturierte Outputs fuer Solo-Creator.","Baue 12 Lead-Magnet-Ideen fuer Solo-Creator. Arbeite mit klaren Schritten, CTA und Beispiel. Kontext: AI-Agenten Workflow.",Beispiel: CTA: 'Schreib AGENTS fuer die Struktur.'
15,Audience Research: Lead-Magnet-Ideen,"Schnelle, strukturierte Outputs fuer SaaS Founder.",Erstelle 12 Lead-Magnet-Ideen fuer SaaS Founder. Nutze Template und halte jede Ausgabe unter 20 Woertern. Kontext: Hook-Datenbank. Gib die Ausgabe nummeriert aus.,Beispiel: Nutzen: 'Mehr Output bei weniger Aufwand.'
