slot,caption,script,hashtags,duration_target_sec,creator_rewards_eligible,offer_cta,video_file,video_status,video_operation,video_error,status
1a,AI News in 30 seconds | 35s Breakdown,"Hook: Stop scrolling: AI News in 30 seconds in 30 seconds.
Main: Kurzer Kontext zu 'AI News in 30 seconds', 3 klare Punkte, 1 konkreter Nutzen fuer heute.
Close: Sag in 1 Satz, was die Zuschauer als naechstes tun sollen.",#shorts #motivation #mindset #ai,35,no,Schreib 'MEHR' in die Kommentare fuer den naechsten Teil.,/Users/maurice/Documents/Dokumente – Mac mini von Maurice/New project/content_factory/deliverables/shorts_revenue/20260214_030112/videos/01_ai-news-in-30-seconds-35s-breakdown.mp4,skipped,,GEMINI_API_KEY missing,ready
1b,AI News in 30 seconds | 35s Breakdown,"Hook: Stop scrolling: AI News in 30 seconds in 30 seconds.
Main: Kurzer Kontext zu 'AI News in 30 seconds', 3 klare Punkte, 1 konkreter Nutzen fuer heute.
Close: Sag in 1 Satz, was die Zuschauer als naechstes tun sollen.

Erweitere das Beispiel mit 2 Zusatzpunkten und einem Mini-Case.",#shorts #motivation #mindset #ai,65,yes,Schreib 'MEHR' in die Kommentare fuer den naechsten Teil.,/Users/maurice/Documents/Dokumente – Mac mini von Maurice/New project/content_factory/deliverables/shorts_revenue/20260214_030112/videos/01_ai-news-in-30-seconds-35s-breakdown.mp4,skipped,,GEMINI_API_KEY missing,ready
2a,Motivation and self-discipline | 35s Breakdown,"Hook: Stop scrolling: Motivation and self-discipline in 30 seconds.
Main: Kurzer Kontext zu 'Motivation and self-discipline', 3 klare Punkte, 1 konkreter Nutzen fuer heute.
Close: Sag in 1 Satz, was die Zuschauer als naechstes tun sollen.",#shorts #motivation #mindset #ai,35,no,Schreib 'MEHR' in die Kommentare fuer den naechsten Teil.,,skipped,,render_limit_reached,ready
2b,Motivation and self-discipline | 35s Breakdown,"Hook: Stop scrolling: Motivation and self-discipline in 30 seconds.
Main: Kurzer Kontext zu 'Motivation and self-discipline', 3 klare Punkte, 1 konkreter Nutzen fuer heute.
Close: Sag in 1 Satz, was die Zuschauer als naechstes tun sollen.

Erweitere das Beispiel mit 2 Zusatzpunkten und einem Mini-Case.",#shorts #motivation #mindset #ai,65,yes,Schreib 'MEHR' in die Kommentare fuer den naechsten Teil.,,skipped,,render_limit_reached,ready
3a,Insane productivity hacks | 35s Breakdown,"Hook: Stop scrolling: Insane productivity hacks in 30 seconds.
Main: Kurzer Kontext zu 'Insane productivity hacks', 3 klare Punkte, 1 konkreter Nutzen fuer heute.
Close: Sag in 1 Satz, was die Zuschauer als naechstes tun sollen.",#shorts #motivation #mindset #ai,35,no,Schreib 'MEHR' in die Kommentare fuer den naechsten Teil.,,skipped,,render_limit_reached,ready
3b,Insane productivity hacks | 35s Breakdown,"Hook: Stop scrolling: Insane productivity hacks in 30 seconds.
Main: Kurzer Kontext zu 'Insane productivity hacks', 3 klare Punkte, 1 konkreter Nutzen fuer heute.
Close: Sag in 1 Satz, was die Zuschauer als naechstes tun sollen.

Erweitere das Beispiel mit 2 Zusatzpunkten und einem Mini-Case.",#shorts #motivation #mindset #ai,65,yes,Schreib 'MEHR' in die Kommentare fuer den naechsten Teil.,,skipped,,render_limit_reached,ready
4a,Money mindset myths | 35s Breakdown,"Hook: Stop scrolling: Money mindset myths in 30 seconds.
Main: Kurzer Kontext zu 'Money mindset myths', 3 klare Punkte, 1 konkreter Nutzen fuer heute.
Close: Sag in 1 Satz, was die Zuschauer als naechstes tun sollen.",#shorts #motivation #mindset #ai,35,no,Schreib 'MEHR' in die Kommentare fuer den naechsten Teil.,,skipped,,render_limit_reached,ready
4b,Money mindset myths | 35s Breakdown,"Hook: Stop scrolling: Money mindset myths in 30 seconds.
Main: Kurzer Kontext zu 'Money mindset myths', 3 klare Punkte, 1 konkreter Nutzen fuer heute.
Close: Sag in 1 Satz, was die Zuschauer als naechstes tun sollen.

Erweitere das Beispiel mit 2 Zusatzpunkten und einem Mini-Case.",#shorts #motivation #mindset #ai,65,yes,Schreib 'MEHR' in die Kommentare fuer den naechsten Teil.,,skipped,,render_limit_reached,ready
5a,Story-driven mini lessons | 35s Breakdown,"Hook: Stop scrolling: Story-driven mini lessons in 30 seconds.
Main: Kurzer Kontext zu 'Story-driven mini lessons', 3 klare Punkte, 1 konkreter Nutzen fuer heute.
Close: Sag in 1 Satz, was die Zuschauer als naechstes tun sollen.",#shorts #motivation #mindset #ai,35,no,Schreib 'MEHR' in die Kommentare fuer den naechsten Teil.,,skipped,,render_limit_reached,ready
5b,Story-driven mini lessons | 35s Breakdown,"Hook: Stop scrolling: Story-driven mini lessons in 30 seconds.
Main: Kurzer Kontext zu 'Story-driven mini lessons', 3 klare Punkte, 1 konkreter Nutzen fuer heute.
Close: Sag in 1 Satz, was die Zuschauer als naechstes tun sollen.

Erweitere das Beispiel mit 2 Zusatzpunkten und einem Mini-Case.",#shorts #motivation #mindset #ai,65,yes,Schreib 'MEHR' in die Kommentare fuer den naechsten Teil.,,skipped,,render_limit_reached,ready
6a,Fun facts that sound fake but true | 35s Breakdown,"Hook: Stop scrolling: Fun facts that sound fake but true in 30 seconds.
Main: Kurzer Kontext zu 'Fun facts that sound fake but true', 3 klare Punkte, 1 konkreter Nutzen fuer heute.
Close: Sag in 1 Satz, was die Zuschauer als naechstes tun sollen.",#shorts #motivation #mindset #ai,35,no,Schreib 'MEHR' in die Kommentare fuer den naechsten Teil.,,skipped,,render_limit_reached,ready
6b,Fun facts that sound fake but true | 35s Breakdown,"Hook: Stop scrolling: Fun facts that sound fake but true in 30 seconds.
Main: Kurzer Kontext zu 'Fun facts that sound fake but true', 3 klare Punkte, 1 konkreter Nutzen fuer heute.
Close: Sag in 1 Satz, was die Zuschauer als naechstes tun sollen.

Erweitere das Beispiel mit 2 Zusatzpunkten und einem Mini-Case.",#shorts #motivation #mindset #ai,65,yes,Schreib 'MEHR' in die Kommentare fuer den naechsten Teil.,,skipped,,render_limit_reached,ready
